               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.031181,            0.021599,           0.0020373,             0.87317,             0.82011,             0.86505,             0.52818,            0.032018,            0.020992,           0.0044115,           0.0057355,           0.0057355,           0.0057355
                  60,            0.031388,            0.021108,           0.0019927,             0.92699,             0.78133,             0.85222,             0.52213,            0.032544,            0.020867,           0.0061643,           0.0056178,           0.0056178,           0.0056178
                  61,            0.030911,            0.021075,            0.001964,             0.90498,             0.79647,             0.86029,             0.52929,            0.032006,            0.020831,           0.0055142,              0.0055,              0.0055,              0.0055
                  62,            0.031272,            0.021045,           0.0023657,              0.9085,             0.80079,             0.85903,             0.52542,            0.032207,            0.020721,            0.006447,           0.0053822,           0.0053822,           0.0053822
                  63,            0.030523,            0.020859,           0.0020573,              0.8861,             0.80077,             0.85824,              0.5217,             0.03237,            0.020465,           0.0048692,           0.0052645,           0.0052645,           0.0052645
                  64,             0.03103,            0.021682,           0.0017869,             0.92289,             0.78957,             0.86177,               0.519,            0.032502,            0.020517,           0.0062341,           0.0051469,           0.0051469,           0.0051469
                  65,            0.030768,            0.020547,           0.0023495,             0.89245,             0.80543,             0.86355,             0.52771,            0.032299,            0.020603,            0.005724,           0.0050296,           0.0050296,           0.0050296
                  66,            0.030564,            0.020832,           0.0019168,             0.91322,              0.7822,             0.85276,             0.52365,            0.032369,            0.020819,           0.0061049,           0.0049126,           0.0049126,           0.0049126
                  67,            0.030595,            0.020727,            0.002001,             0.92832,              0.7839,             0.85322,             0.53307,            0.032096,            0.020121,           0.0051372,            0.004796,            0.004796,            0.004796
                  68,            0.030463,            0.020675,           0.0018924,             0.92541,             0.78425,             0.84941,             0.52604,            0.032039,            0.021704,           0.0047013,           0.0046799,           0.0046799,           0.0046799
                  69,            0.030565,            0.020725,           0.0018586,             0.91361,             0.77976,             0.85321,             0.52864,            0.032223,            0.020628,           0.0052489,           0.0045644,           0.0045644,           0.0045644
                  70,            0.030511,            0.021035,           0.0020341,             0.88915,             0.81788,             0.85484,             0.53574,            0.032246,            0.019876,            0.005431,           0.0044495,           0.0044495,           0.0044495
                  71,            0.030454,            0.021346,           0.0019235,             0.91151,             0.80515,             0.85585,             0.53675,            0.032108,            0.020428,           0.0052977,           0.0043353,           0.0043353,           0.0043353
                  72,             0.02998,            0.020445,            0.001794,             0.92333,             0.80123,             0.86863,             0.53631,            0.032067,             0.01996,            0.005847,           0.0042219,           0.0042219,           0.0042219
                  73,            0.029917,              0.0201,           0.0016749,             0.92772,             0.80022,             0.85852,             0.52866,            0.032185,            0.020668,           0.0057609,           0.0041094,           0.0041094,           0.0041094
                  74,            0.029607,            0.020197,           0.0017422,             0.90763,             0.80595,             0.86414,             0.53671,              0.0321,            0.020742,             0.00518,           0.0039979,           0.0039979,           0.0039979
                  75,            0.029893,            0.020195,           0.0017791,             0.90739,             0.80172,             0.86188,             0.52916,            0.031909,            0.020927,            0.005524,           0.0038873,           0.0038873,           0.0038873
                  76,            0.029997,            0.020451,           0.0017444,             0.88863,              0.8097,             0.85826,             0.52637,            0.031839,            0.020953,           0.0057158,           0.0037779,           0.0037779,           0.0037779
                  77,            0.029771,            0.020223,           0.0015703,             0.91657,             0.79495,             0.86082,             0.53014,             0.03241,            0.020506,           0.0055461,           0.0036697,           0.0036697,           0.0036697
                  78,            0.029665,            0.020175,           0.0016183,             0.92912,             0.78968,             0.85797,             0.53155,            0.032166,            0.020804,           0.0057336,           0.0035627,           0.0035627,           0.0035627
                  79,            0.029513,            0.020347,           0.0016435,             0.90114,             0.79708,             0.85437,             0.52952,            0.032273,            0.020775,           0.0059541,            0.003457,            0.003457,            0.003457
                  80,            0.029211,            0.019895,           0.0016694,             0.92809,             0.77459,             0.85415,             0.53215,            0.032146,            0.021374,            0.006175,           0.0033528,           0.0033528,           0.0033528
                  81,            0.029263,            0.019595,           0.0015743,             0.90399,             0.81341,              0.8589,             0.54026,            0.032574,            0.020705,           0.0060838,             0.00325,             0.00325,             0.00325
                  82,            0.029458,            0.019537,           0.0015962,             0.90541,             0.81098,             0.86182,             0.53455,            0.032175,            0.020712,           0.0053158,           0.0031488,           0.0031488,           0.0031488
                  83,            0.029686,            0.020587,           0.0016733,             0.89877,             0.80869,             0.85021,             0.53318,            0.032153,            0.021052,           0.0057185,           0.0030491,           0.0030491,           0.0030491
                  84,            0.029562,            0.020139,            0.001528,             0.93078,             0.78083,             0.85831,             0.53723,            0.031982,            0.020688,           0.0057884,           0.0029512,           0.0029512,           0.0029512
                  85,            0.029792,            0.020038,            0.001529,             0.89042,             0.81587,             0.85939,             0.53591,            0.031711,            0.020829,           0.0055012,            0.002855,            0.002855,            0.002855
                  86,            0.029216,            0.020316,           0.0013804,             0.90078,             0.81423,             0.86247,             0.53954,            0.031484,            0.020485,           0.0058251,           0.0027606,           0.0027606,           0.0027606
                  87,            0.028812,            0.019098,           0.0015658,             0.88898,             0.80336,             0.86153,             0.54241,            0.031733,            0.021023,           0.0052285,           0.0026681,           0.0026681,           0.0026681
                  88,            0.028996,            0.019625,            0.001528,             0.92812,             0.78446,             0.85829,             0.53889,            0.031704,            0.020777,           0.0059048,           0.0025775,           0.0025775,           0.0025775
                  89,            0.029224,            0.020309,           0.0015303,             0.88349,              0.8195,             0.86109,             0.53877,            0.031912,            0.020766,           0.0058979,           0.0024889,           0.0024889,           0.0024889
                  90,            0.029398,            0.019941,           0.0014848,             0.89343,             0.81169,             0.85943,             0.54324,             0.03176,             0.02074,           0.0055968,           0.0024024,           0.0024024,           0.0024024
                  91,            0.028997,            0.019759,           0.0013354,             0.91548,             0.79166,             0.86236,             0.54189,            0.031911,            0.020402,           0.0055565,            0.002318,            0.002318,            0.002318
